"Cause","Age","Male","Female"
"Cancer","0-4",13175,11121
"Cancer","15-24",42179,28346
"Cancer","25-34",84039,86584
"Cancer","35-44",242039,304711
"Cancer","45-54",837003,828229
"Cancer","5-14",23629,18691
"Cancer","55-64",2038262,1654590
"Cancer","65-74",3120513,2466104
"Cancer","75-84",2880418,2581229
"Cancer","85+",1200325,1496925
"Cardiorespiratory","0-4",49438,38054
"Cardiorespiratory","15-24",44344,28629
"Cardiorespiratory","25-34",129010,77219
"Cardiorespiratory","35-44",441470,219099
"Cardiorespiratory","45-54",1252202,588171
"Cardiorespiratory","5-14",14505,12062
"Cardiorespiratory","55-64",2700790,1426630
"Cardiorespiratory","65-74",4716954,3242801
"Cardiorespiratory","75-84",6241376,6464383
"Cardiorespiratory","85+",4577960,9012477
"Injuries","0-4",84905,59969
"Injuries","15-24",753154,200915
"Injuries","25-34",751041,204132
"Injuries","35-44",618816,211969
"Injuries","45-54",517876,202953
"Injuries","5-14",92255,48478
"Injuries","55-64",391550,161585
"Injuries","65-74",309744,159739
"Injuries","75-84",309835,233377
"Injuries","85+",205700,285053
"Other","0-4",634542,495334
"Other","15-24",112960,70045
"Other","25-34",327701,161177
"Other","35-44",604275,293128
"Other","45-54",881067,494167
"Other","5-14",37288,31485
"Other","55-64",1137338,781602
"Other","65-74",1456287,1312231
"Other","75-84",2006513,2503867
"Other","85+",1675725,3798712
