"","start.year.month.max","start.pred.max","start.year.month.min","start.pred.min","start.seas.index","end.year.month.max","end.pred.max","end.year.month.min","end.pred.min","end.seas.index","diff","per.year.perc","per.decade.perc","age","sex","cause"
"1",1,217.108673176633,7,134.05135144172,1.61959331884112,433,76.3186341895509,439,46.5737319342958,1.63866263277373,0.0190693139326037,0.0515386863043343,0.515386863043343,0,1,"Cardiopulmonary"
"3",1,163.526065550156,8,102.660674441127,1.59287932249007,433,59.4209441282155,440,36.7977726144298,1.61479730718577,0.0219179846957036,0.0592377964748746,0.592377964748746,0,2,"Cardiopulmonary"
"15",1,44.4810878628181,7,34.9445322321251,1.27290551687299,433,30.6578691674985,439,24.253481141271,1.26406056882818,-0.00884494804481273,-0.0239052649859803,-0.239052649859803,5,1,"Cardiopulmonary"
"2",1,41.4152072609047,7,28.5374328853181,1.45125903326126,433,25.804188250421,439,17.9167351100031,1.44022826100801,-0.0110307722532452,-0.0298128979817439,-0.298128979817439,5,2,"Cardiopulmonary"
"14",1,127.431988094439,8,112.84861398892,1.1292295367221,433,103.080346888557,440,91.0452691342834,1.13218784313244,0.00295830641033978,0.00799542273064806,0.0799542273064806,15,1,"Cardiopulmonary"
"12",1,94.2974665775202,7,82.8794631729864,1.13776637742817,433,59.2474410109554,439,51.9219333909074,1.14108695770044,0.00332058027227045,0.00897454127640661,0.0897454127640661,15,2,"Cardiopulmonary"
"75",12,310.375518218858,8,276.409826355115,1.12288163670458,434,305.592699432925,440,268.227039806448,1.13930608805675,0.0164244513521716,0.0443904090599233,0.443904090599233,25,1,"Cardiopulmonary"
"74",12,191.440923397356,7,167.481950696127,1.14305405807399,433,182.963085535754,439,159.676637305775,1.14583503650185,0.00278097842785474,0.00751615791312092,0.0751615791312092,25,2,"Cardiopulmonary"
"95",2,925.961258921524,8,824.578754325888,1.12295066306737,434,848.240866792112,440,745.119586776695,1.13839561037646,0.015444947309089,0.0417431008353756,0.417431008353756,35,1,"Cardiopulmonary"
"85",2,394.628325145985,7,340.764014670343,1.15806924486364,433,511.905914063645,440,436.333360256163,1.17319911950605,0.0151298746424116,0.0408915530875988,0.408915530875988,35,2,"Cardiopulmonary"
"92",2,3152.61416525573,8,2703.22561711119,1.1662415986664,434,2714.09958261739,440,2328.12639098007,1.16578704366426,-0.000454555002144641,-0.00122852703282335,-0.0122852703282335,45,1,"Cardiopulmonary"
"10",1,1284.95641436333,8,1055.8676074145,1.21696735967666,433,1523.78152663601,440,1254.07065900717,1.21506831827352,-0.00189904140313368,-0.00513254433279374,-0.0513254433279374,45,2,"Cardiopulmonary"
"96",2,9029.22533906951,8,7503.03571855803,1.20340961682171,434,6458.50761147779,440,5359.5408580087,1.20504867535937,0.00163905853765844,0.00442988793961742,0.0442988793961742,55,1,"Cardiopulmonary"
"84",2,4486.9900870877,8,3588.23101412534,1.25047413876764,434,3822.81877153459,440,3051.51743106327,1.25275993268784,0.00228579392020656,0.00617782140596367,0.0617782140596367,55,2,"Cardiopulmonary"
"99",2,16240.6979247546,8,12973.1589920825,1.25186918118141,434,10510.4210832042,440,8422.78569125787,1.2478556938844,-0.00401348729701589,-0.0108472629649078,-0.108472629649078,65,1,"Cardiopulmonary"
"100",2,10534.1181656075,8,8283.54830649339,1.27169152346826,434,7766.31270109621,440,6130.38737915699,1.26685513015071,-0.00483639331754504,-0.0130713332906623,-0.130713332906623,65,2,"Cardiopulmonary"
"93",2,17121.633214893,8,13172.4594509745,1.29980534604161,434,13923.6528751094,440,10674.0106005971,1.30444435518271,0.00463900914110371,0.0125378625435235,0.125378625435235,75,1,"Cardiopulmonary"
"91",2,17827.0911061538,8,13699.5238832251,1.30129274988767,434,13345.7173244551,440,10189.1802363501,1.30979303681802,0.00850028693034499,0.0229737484603919,0.229737484603919,75,2,"Cardiopulmonary"
"90",2,9890.89431375449,7,7342.6676764116,1.34704371076592,433,15592.4266324119,440,11514.1472863421,1.35419725357408,0.00715354280815039,0.0193338994814875,0.193338994814875,85,1,"Cardiopulmonary"
"83",2,18800.0380545552,7,14151.5750288341,1.32847672547047,433,25510.7442990667,440,18838.9998727116,1.35414536182567,0.0256686363551939,0.0693746928518754,0.693746928518754,85,2,"Cardiopulmonary"
