"","sex","month","fips","year","deaths","deaths.pred","pop.adj","rate.adj","cause","sex.long","deaths.added.median","deaths.added.mean","deaths.added.ll","deaths.added.ul","deaths.added.two.deg.median","deaths.added.two.deg.mean","deaths.added.two.deg.ll","deaths.added.two.deg.ul","month.short","full_name","code_name","perc.mean","perc.ul","perc.ll"
"1",1,10,1,2016,904,904,2355586,0.000383768624877207,"Cardiopulmonary","Male",-6.87953427353026,-6.8652508295447,-10.2112190489939,-3.39507362904796,-13.6786824423849,-13.6448891149805,-20.2901257436773,-6.76501506189271,"Oct","Alabama","AL",-0.00759430401498308,-0.00375561242151323,-0.0112955962931348
"2",1,10,10,2016,169,169,460670,0.000366856969197039,"Cardiopulmonary","Male",-1.61945115923305,-1.58973099549393,-2.64275637235566,-0.491906354174473,-3.21290625422947,-3.14614550870867,-5.23065787305116,-0.968607496784796,"Oct","Delaware","DE",-0.00940669228102919,-0.00291068848623948,-0.0156376116707435
"3",1,10,11,2016,93,93,323230,0.000287720817993379,"Cardiopulmonary","Male",-0.450255767728258,-0.445213734189882,-1.06505946475207,0.140786478580772,-0.891232589505312,-0.876742294892124,-2.11087812229745,0.292610135696055,"Oct","District of Columbia","DC",-0.00478724445365464,0.00151383310301905,-0.011452252309162
"4",1,10,12,2016,3286,3286,10070151,0.000326310896430451,"Cardiopulmonary","Male",-34.9349201040286,-34.9441506923586,-47.2987273276029,-22.2737667598039,-69.3923728692629,-69.4212215675392,-93.6100434018385,-44.3580557759239,"Oct","Florida","FL",-0.0106342515801456,-0.00677838306749965,-0.0143940131855152
"5",1,10,13,2016,1329,1329,5020465,0.000264716515302865,"Cardiopulmonary","Male",-11.3217069713552,-11.3583455962052,-15.9563997000573,-7.00662654042463,-22.5200792455073,-22.5818643078093,-31.6667272658393,-13.9144581229425,"Oct","Georgia","GA",-0.00854653543732519,-0.00527210424411183,-0.0120063203160702
"6",1,10,16,2016,196,196,843532,0.000232356330287411,"Cardiopulmonary","Male",-0.987825281637198,-0.996227427787131,-1.93619132239784,-0.127827669378083,-1.96125430842193,-1.97619456660366,-3.83798317591455,-0.245079294603548,"Oct","Idaho","ID",-0.00508279299891393,-0.000652181986622871,-0.00987852715509104
"7",1,10,17,2016,1690,1690,6291791,0.00026860396348194,"Cardiopulmonary","Male",-11.7411517955492,-11.7494617230317,-16.9809675142302,-6.13654370848989,-23.3711282108085,-23.374433672526,-33.7558020793923,-12.2241344738466,"Oct","Illinois","IL",-0.00695234421481168,-0.00363109095176917,-0.0100479097717338
"8",1,10,18,2016,1047,1047,3269562,0.000320226378946171,"Cardiopulmonary","Male",-5.84350494747934,-5.76541778492089,-9.06639989169657,-2.23561351705999,-11.6248975710349,-11.4745462438085,-18.0382888086135,-4.4386279666601,"Oct","Indiana","IN",-0.00550660724443256,-0.00213525646328556,-0.008659407728459
"9",1,10,19,2016,536,536,1559119,0.000343783893339764,"Cardiopulmonary","Male",-3.41417143045859,-3.40863013101679,-5.28384613884065,-1.44064814029909,-6.79791776876693,-6.78275738372018,-10.5074332565627,-2.87642939336447,"Oct","Iowa","IA",-0.00635938457279252,-0.00268777638115502,-0.0098579219008221
"10",1,10,20,2016,448,448,1447759,0.000309443767919937,"Cardiopulmonary","Male",-2.66669107478601,-2.64746347034812,-4.30541993615414,-0.900342776554105,-5.30105615145688,-5.26430107987716,-8.56317812829136,-1.79133029099438,"Oct","Kansas","KS",-0.00590951667488419,-0.00200969369766541,-0.00961031235748692
"11",1,10,21,2016,771,771,2186553,0.000352609792673674,"Cardiopulmonary","Male",-6.27097914011935,-6.22625905585156,-8.73136476678697,-3.65688201519366,-12.472468821967,-12.3786107620163,-17.3487472226167,-7.28124949381145,"Oct","Kentucky","KY",-0.00807556297775818,-0.00474303763319541,-0.0113247273239779
"12",1,10,22,2016,823,823,2289370,0.000359487544608342,"Cardiopulmonary","Male",-10.9335275201116,-10.8664540127122,-14.1737019296457,-7.20195314117413,-21.6885137314504,-21.5461612962799,-28.0481496064836,-14.3071683049917,"Oct","Louisiana","LA",-0.0132034678161752,-0.00875085436351656,-0.0172219950542475
"13",1,10,23,2016,253,253,652585,0.000387688960058843,"Cardiopulmonary","Male",-1.7067345066561,-1.70939674479563,-3.03979448731987,-0.390211381083899,-3.39403173485579,-3.39519572764315,-6.03337922333728,-0.770481336908631,"Oct","Maine","ME",-0.00675650887271,-0.00154233747463992,-0.0120149979735963
"14",1,10,24,2016,799,799,2914466,0.000274149707013223,"Cardiopulmonary","Male",-4.25196787702551,-4.2834831556539,-7.34877440441172,-1.33533916702538,-8.45948355933664,-8.51922932633516,-14.5995075100264,-2.62616477679196,"Oct","Maryland","MD",-0.00536105526364693,-0.00167126303757869,-0.00919746483656035
"15",1,10,25,2016,830,830,3305651,0.000251085187153756,"Cardiopulmonary","Male",-10.6903649071781,-10.7153676618617,-14.1688208952185,-7.11344210947215,-21.2089487187398,-21.2625391114881,-28.0713988283961,-14.1298114331781,"Oct","Massachusetts","MA",-0.0129100815203153,-0.00857041218008693,-0.017070868548456
"16",1,10,26,2016,1718,1718,4884746,0.000351707130729008,"Cardiopulmonary","Male",-9.56253982631052,-9.48960824953537,-14.6156109354094,-4.04890256853038,-19.0234381345318,-18.8893405236022,-29.0804794292776,-8.06871221509845,"Oct","Michigan","MI",-0.00552363693220918,-0.00235675353232269,-0.00850734047462711
"17",1,10,27,2016,627,627,2747630,0.000228196664034095,"Cardiopulmonary","Male",-4.18355209107694,-4.20649964369158,-6.34313701787763,-2.09204173399477,-8.33616629185265,-8.3723621665196,-12.6067555907224,-4.17099916438553,"Oct","Minnesota","MN",-0.00670893085118275,-0.00333658968739197,-0.0101166459615273
"18",1,10,28,2016,565,565,1448792,0.000389980066151663,"Cardiopulmonary","Male",-5.02328372981347,-5.05852049891271,-7.30810380702575,-2.94438680045302,-9.96920602361161,-10.0453806433609,-14.5084520634038,-5.84264316688253,"Oct","Mississippi","MS",-0.00895313362639417,-0.00521130407159826,-0.0129346970035854
"19",1,10,29,2016,1044,1044,2992035,0.000348926399590914,"Cardiopulmonary","Male",-6.98565563040321,-7.0631888137298,-10.6736347563367,-3.57679988928295,-13.8968089863245,-14.0519052555024,-21.2055599343535,-7.12611630066118,"Oct","Missouri","MO",-0.00676550652656111,-0.00342605353379593,-0.0102237880807823
"20",1,10,30,2016,164,164,524775,0.000312514887332666,"Cardiopulmonary","Male",-0.688598191995642,-0.684287127618367,-1.47541390660365,0.0730881968403439,-1.37002815531466,-1.35896381146758,-2.93154450198128,0.150308622804899,"Oct","Montana","MT",-0.00417248248547785,0.000445659736831365,-0.00899642625977833
"21",1,10,31,2016,272,272,950671,0.000286113702847778,"Cardiopulmonary","Male",-1.96054865997525,-1.95966763539116,-3.04142603327508,-0.927968064638258,-3.9035506126135,-3.89661598665275,-6.04000433339754,-1.84615312500994,"Oct","Nebraska","NE",-0.00720466042423219,-0.00341164729646418,-0.011181713357629
"22",1,10,32,2016,472,472,1473997,0.000320217748068687,"Cardiopulmonary","Male",-1.86745844547289,-1.89196206087919,-4.05586648725066,0.361634300921263,-3.69825027342135,-3.74903189221446,-8.05357743271525,0.737087477763926,"Oct","Nevada","NV",-0.00400839419677795,0.000766174366358609,-0.00859293747298869
"23",1,10,33,2016,208,208,660860,0.00031474139757286,"Cardiopulmonary","Male",-1.09095027090348,-1.10439498764719,-2.24177178120596,0.066488904626611,-2.1494649118938,-2.17647846942204,-4.42553879385094,0.161096361082958,"Oct","New Hampshire","NH",-0.00530959128676536,0.000319658195320245,-0.0107777489481056
