Age,Male,,,,,,Female,,,,,
,Transport ,Falls,Other,Drowning,Intentional self-harm,Assault,Transport ,Falls,Other,Drowning,Intentional self-harm,Assault
0,18973,1813,35806,13801,0,13795,15104,1030,24914,7343,0,11106
5,42118,1305,20905,10991,7398,8821,25546,478,10087,3454,2803,5772
15,311828,8616,80019,25936,142475,178936,112795,1345,21523,2706,28131,32994
25,237642,12297,132277,18055,176812,168154,73841,2044,43518,2664,41543,39082
35,171656,17008,142988,13314,169713,99288,62711,3864,60060,2670,52059,29208
45,140108,25856,124209,10600,156675,56578,53456,7973,66192,2638,53932,17457
55,105468,34437,91568,8043,120020,29419,45715,14507,50117,2316,38080,9937
65,75798,48758,75322,5753,88162,14215,46215,32617,49378,2124,21288,7354
75,60405,90627,78378,3988,68400,6488,45617,92585,73642,2196,12353,5978
85,22843,97229,56510,1542,24486,1829,17661,166219,91787,1135,4432,2565
