"","Age","Sex","Change per year","Per year 95% CI lower","Per year 95% CI higher","Change per decade","Per decade 95% CI lower","Per decade 95% CI higher","p-value"
"1","0-4","Men",-1.201,-1.9266,-0.4754,-12.01,-19.266,-4.754,0.0026
"2","0-4","Women",-0.3801,-1.316,0.5559,-3.801,-13.16,5.559,0.4315
"3","5-14","Men",-0.0317,-1.4091,1.3458,-0.317,-14.091,13.458,0.9643
"4","5-14","Women",-0.2431,-1.9227,1.4365,-2.431,-19.227,14.365,0.7783
"5","15-24","Women",-0.2093,-1.0933,0.6748,-2.093,-10.933,6.748,0.6455
"6","15-24","Men",0.0182,-0.6078,0.6441,0.182,-6.078,6.441,0.955
"7","25-34","Women",-0.0553,-0.4587,0.348,-0.553,-4.587,3.48,0.7896
"8","25-34","Men",0.2072,-0.0764,0.4907,2.072,-0.764,4.907,0.161
"9","35-44","Men",0.0206,-0.1675,0.2087,0.206,-1.675,2.087,0.8311
"10","35-44","Women",0.0951,-0.1424,0.3326,0.951,-1.424,3.326,0.438
"11","45-54","Men",-0.0477,-0.1643,0.0689,-0.477,-1.643,0.689,0.4283
"12","45-54","Women",0.0194,-0.1394,0.1782,0.194,-1.394,1.782,0.8121
"13","55-64","Women",0.0019,-0.1528,0.1566,0.019,-1.528,1.566,0.9812
"14","55-64","Men",-0.0451,-0.1651,0.0749,-0.451,-1.651,0.749,0.4667
"15","65-74","Women",-0.032,-0.1988,0.1347,-0.32,-1.988,1.347,0.7088
"16","65-74","Men",-0.0265,-0.148,0.095,-0.265,-1.48,0.95,0.6715
"17","75-84","Men",-0.0514,-0.2197,0.117,-0.514,-2.197,1.17,0.5537
"18","75-84","Women",-0.0234,-0.1995,0.1527,-0.234,-1.995,1.527,0.796
"19","85+","Men",-0.2524,-0.534,0.0292,-2.524,-5.34,0.292,0.0877
"20","85+","Women",-0.1643,-0.4466,0.1181,-1.643,-4.466,1.181,0.2619
