"","Age","Sex","Change per year","Per year 95% CI lower","Per year 95% CI higher","Change per decade","Per decade 95% CI lower","Per decade 95% CI higher","p-value"
"1","0-4","Men",0.3089,-0.6825,1.3002,3.089,-6.825,13.002,0.5454
"2","0-4","Women",-0.2355,-1.8035,1.3325,-2.355,-18.035,13.325,0.7702
"3","5-14","Men",-0.3795,-2.1056,1.3466,-3.795,-21.056,13.466,0.6692
"4","5-14","Women",0.5227,-2.0375,3.0829,5.227,-20.375,30.829,0.6915
"5","15-24","Women",-0.4201,-1.3574,0.5172,-4.201,-13.574,5.172,0.3857
"6","15-24","Men",-0.2433,-1.2075,0.7208,-2.433,-12.075,7.208,0.6239
"7","25-34","Women",-0.246,-1.2361,0.7441,-2.46,-12.361,7.441,0.6293
"8","25-34","Men",-0.4066,-1.1227,0.3095,-4.066,-11.227,3.095,0.2734
"9","35-44","Men",0.3007,-0.417,1.0184,3.007,-4.17,10.184,0.4171
"10","35-44","Women",-0.5443,-1.3452,0.2565,-5.443,-13.452,2.565,0.1914
"11","45-54","Men",0.8764,0.4364,1.3164,8.764,4.364,13.164,4e-04
"12","45-54","Women",0.5467,-0.077,1.1703,5.467,-0.77,11.703,0.0946
"13","55-64","Women",-0.4159,-0.9045,0.0727,-4.159,-9.045,0.727,0.1041
"14","55-64","Men",0.4225,0.0567,0.7883,4.225,0.567,7.883,0.0299
"15","65-74","Women",-0.201,-0.6587,0.2567,-2.01,-6.587,2.567,0.3952
"16","65-74","Men",0.4202,-0.0566,0.8969,4.202,-0.566,8.969,0.0929
"17","75-84","Men",0.4058,0.0026,0.809,4.058,0.026,8.09,0.0565
"18","75-84","Women",0.0653,-0.3518,0.4823,0.653,-3.518,4.823,0.7608
"19","85+","Men",0.0978,-0.463,0.6587,0.978,-4.63,6.587,0.7345
"20","85+","Women",-0.3198,-0.8099,0.1702,-3.198,-8.099,1.702,0.2092
