"","Age","Sex","Change per year","Per year 95% CI lower","Per year 95% CI higher","Change per decade","Per decade 95% CI lower","Per decade 95% CI higher","p-value"
"1","0-4","Men",-0.7558,-1.6832,0.1716,-7.558,-16.832,1.716,0.1192
"2","0-4","Women",-0.7297,-2.7577,1.2983,-7.297,-27.577,12.983,0.4854
"3","5-14","Men",0.0356,-0.6962,0.7673,0.356,-6.962,7.673,0.9246
"4","5-14","Women",-0.4709,-1.4079,0.4661,-4.709,-14.079,4.661,0.3314
"5","15-24","Women",0.3708,0.0296,0.7121,3.708,0.296,7.121,0.0403
"6","15-24","Men",0.3621,0.0852,0.639,3.621,0.852,6.39,0.0148
"7","25-34","Women",0.2573,-0.1159,0.6306,2.573,-1.159,6.306,0.1853
"8","25-34","Men",0.4236,0.1762,0.671,4.236,1.762,6.71,0.0019
"9","35-44","Men",0.3108,0.0755,0.5462,3.108,0.755,5.462,0.0139
"10","35-44","Women",0.2633,-0.1464,0.673,2.633,-1.464,6.73,0.2162
"11","45-54","Men",0.3403,0.114,0.5667,3.403,1.14,5.667,0.0057
"12","45-54","Women",0.1911,-0.1568,0.539,1.911,-1.568,5.39,0.289
"13","55-64","Women",-0.2107,-0.6173,0.1959,-2.107,-6.173,1.959,0.3167
"14","55-64","Men",0.3616,0.1107,0.6124,3.616,1.107,6.124,0.0078
"15","65-74","Women",0.0234,-0.5614,0.6083,0.234,-5.614,6.083,0.9378
"16","65-74","Men",0.0537,-0.3159,0.4233,0.537,-3.159,4.233,0.7776
"17","75-84","Men",-0.1991,-0.5572,0.159,-1.991,-5.572,1.59,0.2833
"18","75-84","Women",0.1383,-0.5091,0.7858,1.383,-5.091,7.858,0.678
"19","85+","Men",-0.0496,-0.7464,0.6472,-0.496,-7.464,6.472,0.8899
"20","85+","Women",-1.0221,-2.6893,0.6451,-10.221,-26.893,6.451,0.2376
