CN0100100000000,1,1,"Autauga County, AL",2005,,23949,23037,912,3.8
CN0100300000000,1,3,"Baldwin County, AL",2005,,76804,73743,3061,4
CN0100500000000,1,5,"Barbour County, AL",2005,,10760,10136,624,5.8
CN0100700000000,1,7,"Bibb County, AL",2005,,8861,8463,398,4.5
CN0100900000000,1,9,"Blount County, AL",2005,,26446,25491,955,3.6
CN0101100000000,1,11,"Bullock County, AL",2005,,3747,3391,356,9.5
CN0101300000000,1,13,"Butler County, AL",2005,,9139,8547,592,6.5
CN0101500000000,1,15,"Calhoun County, AL",2005,,53955,51524,2431,4.5
CN0101700000000,1,17,"Chambers County, AL",2005,,16353,15413,940,5.7
CN0101900000000,1,19,"Cherokee County, AL",2005,,12044,11519,525,4.4
CN0102100000000,1,21,"Chilton County, AL",2005,,19674,18901,773,3.9
CN0102300000000,1,23,"Choctaw County, AL",2005,,5300,4951,349,6.6
CN0102500000000,1,25,"Clarke County, AL",2005,,10126,9478,648,6.4
CN0102700000000,1,27,"Clay County, AL",2005,,5950,5655,295,5
CN0102900000000,1,29,"Cleburne County, AL",2005,,6659,6396,263,3.9
CN0103100000000,1,31,"Coffee County, AL",2005,,20104,19320,784,3.9
CN0103300000000,1,33,"Colbert County, AL",2005,,24960,23610,1350,5.4
CN0103500000000,1,35,"Conecuh County, AL",2005,,5188,4866,322,6.2
CN0103700000000,1,37,"Coosa County, AL",2005,,4892,4645,247,5
CN0103900000000,1,39,"Covington County, AL",2005,,16933,16167,766,4.5
CN0104100000000,1,41,"Crenshaw County, AL",2005,,6186,5882,304,4.9
CN0104300000000,1,43,"Cullman County, AL",2005,,38494,36946,1548,4
CN0104500000000,1,45,"Dale County, AL",2005,,20168,19269,899,4.5
CN0104700000000,1,47,"Dallas County, AL",2005,,16007,14636,1371,8.6
CN0104900000000,1,49,"DeKalb County, AL",2005,,31239,29648,1591,5.1
CN0105100000000,1,51,"Elmore County, AL",2005,,34448,33157,1291,3.7
CN0105300000000,1,53,"Escambia County, AL",2005,,14329,13530,799,5.6
CN0105500000000,1,55,"Etowah County, AL",2005,,46762,44542,2220,4.7
CN0105700000000,1,57,"Fayette County, AL",2005,,7886,7533,353,4.5
CN0105900000000,1,59,"Franklin County, AL",2005,,13789,13059,730,5.3
CN0106100000000,1,61,"Geneva County, AL",2005,,11628,11174,454,3.9
CN0106300000000,1,63,"Greene County, AL",2005,,3456,3225,231,6.7
CN0106500000000,1,65,"Hale County, AL",2005,,7053,6669,384,5.4
CN0106700000000,1,67,"Henry County, AL",2005,,7469,7146,323,4.3
CN0106900000000,1,69,"Houston County, AL",2005,,46102,44334,1768,3.8
CN0107100000000,1,71,"Jackson County, AL",2005,,26776,25427,1349,5
CN0107300000000,1,73,"Jefferson County, AL",2005,,317359,303260,14099,4.4
CN0107500000000,1,75,"Lamar County, AL",2005,,6132,5788,344,5.6
CN0107700000000,1,77,"Lauderdale County, AL",2005,,42063,39905,2158,5.1
CN0107900000000,1,79,"Lawrence County, AL",2005,,15979,15087,892,5.6
CN0108100000000,1,81,"Lee County, AL",2005,,63530,61161,2369,3.7
CN0108300000000,1,83,"Limestone County, AL",2005,,35123,33561,1562,4.4
CN0108500000000,1,85,"Lowndes County, AL",2005,,4952,4554,398,8
CN0108700000000,1,87,"Macon County, AL",2005,,8705,8191,514,5.9
CN0108900000000,1,89,"Madison County, AL",2005,,158767,153075,5692,3.6
CN0109100000000,1,91,"Marengo County, AL",2005,,8603,8109,494,5.7
CN0109300000000,1,93,"Marion County, AL",2005,,13536,12929,607,4.5
CN0109500000000,1,95,"Marshall County, AL",2005,,41954,40314,1640,3.9
CN0109700000000,1,97,"Mobile County, AL",2005,,180384,171439,8945,5
CN0109900000000,1,99,"Monroe County, AL",2005,,9587,8996,591,6.2
CN0110100000000,1,101,"Montgomery County, AL",2005,,105148,100336,4812,4.6
CN0110300000000,1,103,"Morgan County, AL",2005,,55700,53187,2513,4.5
CN0110500000000,1,105,"Perry County, AL",2005,,3537,3215,322,9.1
CN0110700000000,1,107,"Pickens County, AL",2005,,7960,7527,433,5.4
CN0110900000000,1,109,"Pike County, AL",2005,,15013,14401,612,4.1
CN0111100000000,1,111,"Randolph County, AL",2005,,9823,9218,605,6.2
CN0111300000000,1,113,"Russell County, AL",2005,,21501,20203,1298,6
CN0111500000000,1,115,"St. Clair County, AL",2005,,33750,32407,1343,4
CN0111700000000,1,117,"Shelby County, AL",2005,,94699,91783,2916,3.1
CN0111900000000,1,119,"Sumter County, AL",2005,,4865,4512,353,7.3
CN0112100000000,1,121,"Talladega County, AL",2005,,39684,37777,1907,4.8
CN0112300000000,1,123,"Tallapoosa County, AL",2005,,18587,17748,839,4.5
CN0112500000000,1,125,"Tuscaloosa County, AL",2005,,84810,81638,3172,3.7
CN0112700000000,1,127,"Walker County, AL",2005,,29772,28455,1317,4.4
CN0112900000000,1,129,"Washington County, AL",2005,,6887,6458,429,6.2
CN0113100000000,1,131,"Wilcox County, AL",2005,,3626,3290,336,9.3
CN0113300000000,1,133,"Winston County, AL",2005,,10365,9840,525,5.1
CN0201300000000,2,13,"Aleutians East Borough, AK",2005,,1077,974,103,9.6
CN0201600000000,2,16,"Aleutians West Census Area, AK",2005,,3143,2963,180,5.7
CN0202000000000,2,20,"Anchorage Borough/municipality, AK",2005,,149028,140840,8188,5.5
CN0205000000000,2,50,"Bethel Census Area, AK",2005,,7089,6182,907,12.8
