"","model.2.mean","age","sex","cause"
"1",-1.97134412357512,0,1,"Intentional self-harm"
"2",-1.97210764061522,5,1,"Intentional self-harm"
"3",-1.65104224798481,15,1,"Intentional self-harm"
"4",-1.63397226053232,25,1,"Intentional self-harm"
"5",-1.6414716990348,35,1,"Intentional self-harm"
"6",-1.63788470762215,45,1,"Intentional self-harm"
"7",-1.62660268518161,55,1,"Intentional self-harm"
"8",-1.59172886192864,65,1,"Intentional self-harm"
"9",-1.52094603716756,75,1,"Intentional self-harm"
"10",-1.45828491961272,85,1,"Intentional self-harm"
"11",-1.96493827956804,0,2,"Intentional self-harm"
"12",-2.02323550830277,5,2,"Intentional self-harm"
"13",-1.86140724576568,15,2,"Intentional self-harm"
"14",-1.82384760770923,25,2,"Intentional self-harm"
"15",-1.79226867415691,35,2,"Intentional self-harm"
"16",-1.77397022110413,45,2,"Intentional self-harm"
"17",-1.78351000761614,55,2,"Intentional self-harm"
"18",-1.79284775056398,65,2,"Intentional self-harm"
"19",-1.77679291725262,75,2,"Intentional self-harm"
"20",-1.70896913903231,85,2,"Intentional self-harm"
